cand_id,name,age,party_id,spl_attribute_id
cand432,"MAHENDRA ORANG",41,VPI,432
cand433,"RAM BAHADUR SUNAR",50,NPEP,433
cand434,"ZIABUR RAHMAN KHAN",36,IND,434
cand435,"BIJOY KUMAR TIRU",68,IND,435
cand436,"Pradyut Bordoloi",59,INC,436
cand437,"Sri Rupak Sharma",46,BJP,437
cand438,"Sahadeb Das",54,AITC,438
cand439,"Azgor Ali",38,PUJP,439
cand440,"Saiful Islam Choudhury",52,AJM,440
cand441,"Sukanta Mazumdar",36,BGANP,441
cand442,"Zakir Hussain",43,IND,442
cand443,"Gaurav Gogoi",36,INC,443
cand444,"Moni Madhab Mahanta",41,AGP,444
cand445,"Abdul Aziz",60,NPEP,445
cand446,"Shree Diganta Kumar Saikia",48,HND,446
cand447,"Md. Hariqul Islam Bhuyan",51,AJM,447
cand448,"Sri Jiten Gogoi",57,IND,448
cand449,"Sri Bhaskar Sarmah",33,IND,449
cand450,"KANAK GOGOI",42,CPI,450
cand451,"TOPON KUMAR GOGOI",50,BJP,451
cand452,"RIBULAYA GOGOI",38,AITC,452
cand453,"SUSHANTA BORGOHAIN",44,INC,453
cand454,"KAMALA RAJ KONWAR",60,NPEP,454
cand455,"RAJ KUMAR DUWARA",33,AIFB,455
cand456,"ARBIN KUMAR BORUAH",34,IND,456
cand457,"NANDITA NAG",47,IND,457
cand458,"PABAN SINGH GHATOWAR",67,INC,458
cand459,"RAMESWAR TELI",48,BJP,459
cand460,"DR. TITUS BHENGRA",60,BMUP,460
cand461,"BHABEN BARUAH",59,NPEP,461
cand462,"APURBA SAIKIA",44,IND,462
cand463,"ISRAIL NANDA",62,IND,463
cand464,"NURUL HUDA IMDADUL ISLAM SAIKIA",51,IND,464
cand465,"RUBUL BURAGOHAIN",43,IND,465
cand466,"ANIL BORGOHAIN",51,INC,466
cand467,R.Anbuchezhian,48,NCP,467
cand468,"AMIYA KUMAR HANDIQUE",65,CPIM,468
cand469,"ARUP KALITA",51,CPI,469
cand470,"PRADAN BARUAH",53,BJP,470
cand471,"UBAIDUR RAHMAN",36,AJM,471
cand472,"DILIP MORAN",52,ADRP,472
cand473,"BHUPEN NARAH",56,VPI,473
cand474,"HEM KANTA MIRI",37,SUCI(C),474
cand475,"AMBAZ UDDIN",51,IND,475
cand476,"PROBHU LAL VAISNAVA",44,IND,476
cand477,"DEEPAK YADAV",42,BSP,477
cand478,"BAIDYANATH PRASAD MAHTO",62,JD(U),478
cand479,"SHASHWAT KEDAR",32,INC,479
cand480,"DURGESH SINGH CHAUHAN",40,BLND,480
cand481,"BHOLA RAY",57,SBSP,481
cand482,"MANOJ KUMAR",29,JKIP,482
cand483,"RAKESH KEWAT",35,RAHIS,483
cand484,"RAJESH KUSHWAHA",27,RSJVP,484
cand485,"SHIV KUMAR CHAUDHARY",55,BBC,485
cand486,"SUSHMA DEVI",38,SHS,486
cand487,"MUNNA SINGH",46,IND,487
cand488,"RAMESH PRASAD",52,IND,488
cand489,"SURESH SAH",54,IND,489
cand490,"BRIJESH KUMAR KUSHWAHA",41,BLSP,490
cand491,"RAKESH KUMAR",39,BSP,491
cand492,"DR. SANJAY JAISWAL",54,BJP,492
cand493,"BIPIN NATH TIWARI ALIAS BIPIN TIWARI",45,LAJSP,493
cand494,"AJAY KUMAR SINHA",57,IND,494
cand495,"NAFISH AHMAD",47,IND,495
cand496,"RATAN KUMAR SARKAR",66,IND,496
cand497,"VIKAS KUMAR PRASAD",28,IND,497
cand498,"SANJAY KUMAR PATEL",39,IND,498
cand499,"AAKASH KUMAR SINGH",27,BLSP,499
cand500,"Prabhakar Jaiswal",55,CPI,500
cand501,"RADHA MOHAN SINGH",69,BJP,501
cand502,"Dinesh Sahani",34,RMGP,502
cand503,"Devendra Singh",35,RSJVP,503
cand504,"Parasnath Pandey",59,JPS,504
cand505,"Parasnath Ram",42,JP,505
