name,party_name,state,constituency
SANJAY SINGH RANA,Bhartiya Sarvdharm Party,Uttar Pradesh,Gorakhpur
PIAR CHAND,Independent,Chandigarh,Chandigarh
NARINDER KUMAR SHARMA,Shiromani Akali Dal,Punjab,Patiala
NIRBHAY YADAV,Independent,Bihar,Buxar
PARSHOTAM LAL,Communist Party of India  (Marxist),Punjab,Jalandhar
SANJEEV KUMAR,Independent,Punjab,Ludhiana
PUJA DEVI,Independent,Bihar,Nalanda
DILBAGH SINGH,Independent,Punjab,Amritsar
ASHUTOSH KUMAR,Rashtriya Jan Jan Party,Bihar,Jahanabad
RULDA SINGH,Independent,Punjab,Fatehgarh Sahib
DURGESH NANDAN SINGH,Independent,Bihar,Patliputra
JAGDEEP KUMAR,Rashtriya Devbhumi Party,Himachal Pradesh,HAMIRPUR
IQBAL SINGH JHUNDAN,Shiromani Akali Dal,Punjab,Sangrur
ASHOK KUMAR SING,Independent,Odisha,Mayurbhanj
SATBIR SINGH,Independent,Punjab,Amritsar
IMRAN ALI SARDAR,Bharatheeya Jawan Kisan Party,West Bengal,Basirhat
SURINDER SINGH,Independent,Punjab,Gurdaspur
NAND KISHOR PARASAD,Pragatisheel Magahi Samaj,Bihar,Nalanda
BALDEV SINGH GAGRA,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),Punjab,Faridkot
RANJAN KUMAR,Independent,Bihar,Patliputra
MANDEEP SINGH,Revolutionary Socialist Party,Punjab,Patiala
AMANDEEP SINGH,Independent,Punjab,Bathinda
MAHESWAR DAS,Socialist Unity Centre Of India (COMMUNIST),Odisha,Jagatsinghpur
JASPAL MASIH,Independent,Punjab,Amritsar
HARDEEP SINGH,Nationalist Justice Party,Punjab,Hoshiarpur
ADITYA SHRIVASTAV,Yuga Thulasi Party,Uttar Pradesh,Ghazipur
PRITPAL SINGH,Bahujan Dravida Party,Punjab,Ludhiana
LAL BAAD SHAH SINGH,Bahujan Samaj Party,Bihar,Arrah
PARAMPAL KAUR SIDHU,Bharatiya Janata Party,Punjab,Bathinda
MIRAZ MOLLA,Independent,West Bengal,Basirhat
SUKHDEV SINGH,Independent,Punjab,Firozpur
BAJUN HANSDA,Independent,Odisha,Mayurbhanj
AMARJIT KAUR SAHOKE,Indian National Congress,Punjab,Faridkot
GULSHAN KUMAR,Democratic Bharatiya Samaj Party,Punjab,Jalandhar
RENU BALA,Independent,Punjab,Amritsar
BHANUMATI DAS,Utkal Samaj,Odisha,Jagatsinghpur
SAHIB SINGH,Independent,Punjab,Amritsar
AKHTAR RAHAMAN BISWAS,All India Secular Front,West Bengal,Basirhat
ASHOK PRASHAR,Aam Aadmi Party,Punjab,Ludhiana
KULBIR SINGH ZIRA,Indian National Congress,Punjab,Khadoor Sahib
SEFALI DEY,Bharatiya Nyay-Adhikar Raksha Party,West Bengal,Barasat
DR. RAJASHREE MALLICK,Biju Janata Dal,Odisha,Jagatsinghpur
MOHINDER SINGH KAYPEE,Shiromani Akali Dal,Punjab,Jalandhar
MAFIJUL MOLLA,Independent,West Bengal,Basirhat
VIJAY SYAL,Independent,Punjab,Sangrur
JAGDISH MASIH,Independent,Punjab,Gurdaspur
SURINDER KAMBOJ,Bahujan Samaj Party,Punjab,Firozpur
ABHIJIT DAS (BOBBY),Bharatiya Janata Party,West Bengal,Diamond harbour
MANJIT KAUR,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),Punjab,Faridkot
HARIKESHWAR RAM,Bahujan Samaj Party,Bihar,Patliputra
AJAY,Indian National Congress,Uttar Pradesh,Varanasi
MALVINDER SINGH KANG,Aam Aadmi Party,Punjab,Anandpur Sahib
R K SINGH,Bharatiya Janata Party,Bihar,Arrah
SANYUKTA KUMARI,Independent,Bihar,Nalanda
JATIA SAWAYAN,Bahujan Samaj Party,Odisha,Mayurbhanj
ROLI,Akhil Bhartiya Hamara Samaj Party,Uttar Pradesh,Ghosi
KULDEEP SINGH,Aam Aadmi Party,Punjab,Amritsar
PALA RAM,Independent,Punjab,Bathinda
DEEPAK KUMAR,Independent,Punjab,Firozpur
LOBIN HEMBRAM,Independent,Jharkhand,Rajmahal
SANTILATA CHATTAR,Independent,Odisha,Mayurbhanj
SURENDRA PRASAD,Al-Hind Party,Bihar,Nalanda
LOBIN HEMBRAM,Independent,Jharkhand,Rajmahal
RABINDRA KUMAR SETHY,Indian National Congress,Odisha,Jagatsinghpur
SHAMBHU PRASAD SHARMA,Hindustan Vikas Dal,Bihar,Patliputra
RITU SINGH,Bahujan Samaj Party,Chandigarh,Chandigarh
HARPREET SINGH,Independent,Punjab,Firozpur
ANJANI SOREN,Jharkhand Mukti Morcha,Odisha,Mayurbhanj
I.S.GULATI,Independent,Punjab,Gurdaspur
PRIYANKA PRASAD,All India Majlis-E-Ittehadul Muslimeen,Bihar,Karakat
MO MAUSME ALAM,Bahujan Samaj Party,Uttar Pradesh,Maharajganj
HARGOBIND SINGH,Independent,Punjab,Fatehgarh Sahib
VINOD SULTANPURI,Indian National Congress,Himachal Pradesh,SHIMLA
BADRI NATH,Independent,Uttar Pradesh,Ghosi
BADRI NATH,Independent,Uttar Pradesh,Ghosi
JAGDEEP SINGH,Aam Aadmi Party,Punjab,Firozpur
AJEET KUMAR SINGH,Peoples Party of India (Democratic),Bihar,Karakat
MEJOR SINGH BHATTI,Jan Sewa Driver Party,Punjab,Faridkot
VINDU DEVI,Rashtriya Jansambhavna Party,Bihar,Patliputra
SHRVAN KUMAR NIRALA,Independent,Uttar Pradesh,Bansgaon
VIKASH VINAYAK,Jan Janwadi Party,Bihar,Karakat
SATPAL,Independent,Punjab,Anandpur Sahib
RAJESHWAR PASWAN,Akhil Hind Forward Bloc (Krantikari),Bihar,Karakat
ANITA,Bharatiya Janata Party,Punjab,Hoshiarpur
ANOKH SINGH,Independent,Punjab,Khadoor Sahib
AMANSHER SINGH,Aam Aadmi Party,Punjab,Gurdaspur
VIRENDRA,Rashtriya Jantantrik Bharat Vikas Party,Uttar Pradesh,Ghosi
NUR ALAM KHAN,All India Secular Front,West Bengal,Jadavpur
RAMJI SINGH,Voters Party  International,Bihar,Arrah
SURESH KUMAR KASHYAP,Bharatiya Janata Party,Himachal Pradesh,SHIMLA
YAKUB ANSARI,Peace Party,Uttar Pradesh,Ghosi
RAMESH CHANDRA SETHY,Communist Party of India,Odisha,Jagatsinghpur
SANJEEV GULERIA,All India Forward Bloc,Himachal Pradesh,KANGRA
RAJENDRA RAM,Independent,Uttar Pradesh,Ghosi
SIMRANJIT SINGH MANN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),Punjab,Sangrur
MISHA BHARTI,Rashtriya Janata Dal,Bihar,Patliputra
GURMIT SINGH SODHI,Bharatiya Janata Party,Punjab,Firozpur
HANISH SHARMA,Ekam Sanatan Bharat Dal,Punjab,Anandpur Sahib
DEEPAK SHARMA,Independent,Punjab,Anandpur Sahib
BALARAM MANDAL,Independent,West Bengal,Jadavpur
RAJESH,Independent,Uttar Pradesh,Mirzapur
SATNAM SINGH,Bahujan Samaj Party,Punjab,Khadoor Sahib
VINOD KUMAR MANDAL,Lokhit Adhikar Party,Jharkhand,Rajmahal
MEGH RAJ,Independent,Punjab,Anandpur Sahib
SANJAY KUMAR SINHA,Jai Hind National Party,Uttar Pradesh,Chandauli
SATISH CHAND,Samajhdar Party,Uttar Pradesh,Ghosi
GURPREET SINGH,Independent,Punjab,Firozpur
LALJIT SINGH BHULLAR,Aam Aadmi Party,Punjab,Khadoor Sahib
PRENEET KAUR,Bharatiya Janata Party,Punjab,Patiala
GEETINDER KAUR KAHLON,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),Punjab,Sangrur
MOHAMMAD SHAHID ALAM,Jantantra Awaj Party,Bihar,Patna Sahib
MITHILESH KUMAR TIWARY,Bharatiya Janata Party,Bihar,Buxar
SURJIT SINGH,Independent,Punjab,Gurdaspur
LAKHVIR SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),Punjab,Bathinda
KHALIFA KISKU,Peoples Party of India (Democratic),Jharkhand,Rajmahal
MANJIT SINGH MANNA,Bharatiya Janata Party,Punjab,Khadoor Sahib
PRITAM SINGH,Independent,Punjab,Firozpur
SHASHI RANJAN SUMAN,Independent,Bihar,Nalanda
ISHWAR DAYAL,Bhartiya Sabka Dal,Uttar Pradesh,Ghosi
MAJNU LASKAR,All India Secular Front,West Bengal,Diamond harbour
BINOD KUMAR JENA,Gana Suraksha Party,Odisha,Jajpur
SUDHIR DAS,Independent,Bihar,Nalanda
RAMNIVAS GOND,Gondvana Gantantra Party,Uttar Pradesh,Ballia
BRIJESH,Abhay Samaj Party,Uttar Pradesh,Maharajganj
VISHAL SIDHU,Bahujan Samaj Party,Punjab,Amritsar
CHANDRACHUR GOSWAMI,Independent,West Bengal,Jadavpur
JASWANT SINGH,Independent,Punjab,Sangrur
KANWALJIT SINGH,Independent,Punjab,Khadoor Sahib
BADRI NATH,Independent,Uttar Pradesh,Ghosi
SANATAN PANDEY,Samajwadi Party,Uttar Pradesh,Ballia
AJIT SINGH,Rashtriya Republican Party,Punjab,Firozpur
SUDHIR DAS,Independent,Bihar,Nalanda
RAJU SINGH,Bahujan Mukti Party,Bihar,Buxar
SWAPAN MAJUMDER,Bharatiya Janata Party,West Bengal,Barasat
ARVIND KUMAR BHARATI,Rashtriya Samanta Dal,Uttar Pradesh,Robertsganj
SEBASTION HEMBROM,Independent,Jharkhand,Rajmahal
SEBASTION HEMBROM,Independent,Jharkhand,Rajmahal
OMPRAKASH PRAJAPATI,Bahujan Samaj Party,West Bengal,Kolkata Uttar
SEBASTION HEMBROM,Independent,Jharkhand,Rajmahal
SUDHIR DAS,Independent,Bihar,Nalanda
NAGESHWAR PRASAD,Peoples Party of India (Democratic),Bihar,Patliputra
HARPREET KAUR,India Greens Party,Punjab,Sangrur
SUDHIR DAS,Independent,Bihar,Nalanda
KUSHAL PAL SINGH MANN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),Punjab,Anandpur Sahib
TARSEM SINGH,Independent,Punjab,Khadoor Sahib
BAL KRISHNA,Bahujan Samaj Party,Uttar Pradesh,Ghosi
AMRITPAL SINGH,Independent,Punjab,Khadoor Sahib
GURMEET SINGH KHARAY,Independent,Punjab,Ludhiana
MUNSHI KISKU,Navyug Pragatisheel Morcha,Jharkhand,Rajmahal
ARTTATRANA MALIK,Independent,Odisha,Jajpur
SANJAY KUMAR,Independent,Bihar,Patna Sahib
LAXMI KANTA MALIK,Independent,Odisha,Bhadrak
BACHAU LAL,Jan Janwadi Party,Uttar Pradesh,Robertsganj
PUNAM DEVI,Jantantra Awaj Party,Bihar,Sasaram
GAJJAN SINGH,Independent,Punjab,Anandpur Sahib
RAMESH KUMAR,Naki Bharatiya Ekta Party,Bihar,Nalanda
RAMVACHAN,Sardar Patel Siddhant Party,Uttar Pradesh,Ghosi
GURINDER SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),Punjab,Gurdaspur
TANUSHREE MONDAL,Independent,West Bengal,Jadavpur
DIPA TUDU,Independent,Jharkhand,Rajmahal
JASWANT SINGH,Independent,Punjab,Khadoor Sahib
ARTTATRANA MALIK,Independent,Odisha,Jajpur
BHIMRAO YASHWANT AMBEDKAR,Global Republican Party,Punjab,Hoshiarpur
BALWINDER SINGH,Independent,Punjab,Sangrur
KANHAIYA LAL YADAV,Jagrook Janta Party,Bihar,Nalanda
BINDER KAUR,Independent,Punjab,Patiala
SHRIRAM PRASAD,Al-Hind Party,Uttar Pradesh,Gorakhpur
DEVINDER BHAGRIA,Hindustan Shakti Sena,Punjab,Ludhiana
JAWAHAR SINGH,Bhartiya Manavta Party,Bihar,Patliputra
KESHO JAMADAR,Peoples Party of India (Democratic),Bihar,Nalanda
GURPREET KAUR BAJWA,Independent,Punjab,Gurdaspur
GURMEET SINGH HAYER,Aam Aadmi Party,Punjab,Sangrur
JAVED ASHRAF,Bahujan Samaj Party,Uttar Pradesh,Gorakhpur
RAM GOVIND,Samajhdar Party,Uttar Pradesh,Chandauli
JHUNA MALIK,Manas Lokshakti Dal,Odisha,Jajpur
SANTANU ROY,Independent,West Bengal,Kolkata Dakshin
BUDDHADEV SAV,Independent,Bihar,Jahanabad
DHANESHWAR,Bahujan Samaj Party,Uttar Pradesh,Robertsganj
LABH SINGH,Independent,Punjab,Patiala
GOPAN SARDAR,Mulnibasi Party of India,West Bengal,Jadavpur
SUPRAVA DAS,Akhil Bhartiya Parivar Party,Odisha,Kendrapara
CHAMKILA SINGH,Independent,Punjab,Patiala
ER SANDHYA RANI MALLICK,Bahujan Samaj Party,Odisha,Jajpur
GYANCHANDRA BIND,Independent,Uttar Pradesh,Ghazipur
SHAMSHER SINGH,Independent,Punjab,Amritsar
ASHOK GUPTA,Independent,Uttar Pradesh,Ballia
AMIT KUMAR ALBELA,Independent,Bihar,Patna Sahib
MUNNA KUMAR,Sankhyanupati Bhagidari Party,Bihar,Nalanda
SUDHAKAR SINGH,Rashtriya Janata Dal,Bihar,Buxar
DINESH SINGH,Bharatiya Janata Party,Punjab,Gurdaspur
JASKARAN SINGH KAHAN SINGH WALA,Independent,Punjab,Firozpur
ANSHUMAN MOHANTY,Biju Janata Dal,Odisha,Kendrapara
LAKHVIR SINGH,Independent,Punjab,Ludhiana
SOUBHAGYA KETAN SAMAL,Socialist Unity Centre Of India (COMMUNIST),Odisha,Kendrapara
DEBASREE CHAUDHURI,Bharatiya Janata Party,West Bengal,Kolkata Dakshin
PRANGYAN PRAKASH MOHAPATRA,Odisha Janata Party,Odisha,Kendrapara
TARANJIT SINGH SANDHU,Bharatiya Janata Party,Punjab,Amritsar
PARS NATH RAI,Bharatiya Janata Party,Uttar Pradesh,Ghazipur
RAM SAWARUP CHAUHAN,Independent,Bihar,Buxar
LILAWATI RAJBHAR,Moolniwasi Samaj Party,Uttar Pradesh,Ghosi
AKHILESH KUMAR PANDEY,Independent,Bihar,Buxar
SANJAY TANDON,Bharatiya Janata Party,Chandigarh,Chandigarh
AKHILESH KUMAR PANDEY,Independent,Bihar,Buxar
SATENDER KUMAR MALL,Independent,Uttar Pradesh,Deoria
SATENDER KUMAR MALL,Independent,Uttar Pradesh,Deoria
SHYAM SUNDAR PRASAD,Independent,Bihar,Nalanda
ASHUTOSH VINAY KUMAR,Rashtriya Garib Dal,Bihar,Jahanabad
ROBET KUMAR,Janata Congress,Himachal Pradesh,SHIMLA
ANCHAL DAS,Indian National Congress,Odisha,Jajpur
DIPAK SARDAR,Independent,West Bengal,Jadavpur
AGAM SWAROOP,Rashtriya Samanta Dal,Uttar Pradesh,Deoria
BHOLA SINGH,Independent,Punjab,Ludhiana
KRISHNADAS BHAKTA,Independent,West Bengal,Kolkata Dakshin
RAJ JATINDER SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),Punjab,Fatehgarh Sahib
AMIT AGGARWAL,Independent,Punjab,Gurdaspur
BIDYUT GAYEN,Independent,West Bengal,Basirhat
ANANTA MARNDI,Independent,Odisha,Mayurbhanj
MADAN LAL,Akhil Bhartiya Parivar Party,Himachal Pradesh,SHIMLA
ANIRBAN GANGULY,Bharatiya Janata Party,West Bengal,Jadavpur
AJIT KUMAR,Independent,Bihar,Nalanda
AKHILESH PRATAP SINGH,Indian National Congress,Uttar Pradesh,Deoria
NIRAPADA SARDAR,Communist Party of India  (Marxist),West Bengal,Basirhat
CHARANJIT SINGH CHANNI,Indian National Congress,Punjab,Jalandhar
RABINDRA NARAYAN BEHERA,Bharatiya Janata Party,Odisha,Jajpur
RAJINDER KUMAR SHARMA,Independent,Punjab,Amritsar
VISHAL KUMAR,Independent,Punjab,Ludhiana
SUBRATA BHOWMIK,Mera Bharat Mahan Party,West Bengal,Dum dum
SAMUEL SONI,Independent,Punjab,Gurdaspur
NARENDER KUMAR,Rashtriya Devbhumi Party,Himachal Pradesh,MANDI
ANIL JOSHI,Shiromani Akali Dal,Punjab,Amritsar
SUNAINA,Bhartiya Rashtriya Dal,Punjab,Anandpur Sahib
ARUN SARKAR,Independent,West Bengal,Jadavpur
TAPAS BANERJEE,All India Secular Front,West Bengal,Barasat
SARAVAN SINGH,Independent,West Bengal,Basirhat
SUDAM MARNDI,Biju Janata Dal,Odisha,Mayurbhanj
KASHINATH MONDAL,Independent,West Bengal,Diamond harbour
AJAY,Vishwa Kalyan Rashtriya Manav Samaj Party,Uttar Pradesh,Ghazipur
JAGTAR SINGH,Nationalist Justice Party,Punjab,Sangrur
UPENDRA KUSHWAHA,Rashtriya Lok Morcha,Bihar,Karakat
SUBHASH KUMAR,Bhartiya Lok Chetna Party,Bihar,Patliputra
PEEYUUSH DAS,Ambedkarite Party of India,Odisha,Jagatsinghpur
OM PARKASH BANKA,Independent,Punjab,Faridkot
MANJULATA MANDAL,Biju Janata Dal,Odisha,Bhadrak
PARMINDER SINGH,Independent,Punjab,Anandpur Sahib
CHANDAN CHAUHAN,Independent,Uttar Pradesh,Ghosi
SATPAL SINGH RAIZADA,Indian National Congress,Himachal Pradesh,HAMIRPUR
RAMCHANDRA SINGH,Independent,Uttar Pradesh,Kushi Nagar
BAHAL SINGH,Aazad Samaj Party (Kanshi Ram),Punjab,Fatehgarh Sahib
SARABJEET SINGH KHALSA,Independent,Punjab,Faridkot
SANJAY KUMAR TIWARI,Independent,Uttar Pradesh,Varanasi
SUKHJINDER SINGH RANDHAWA,Indian National Congress,Punjab,Gurdaspur
JAGJIWAN BALI,Independent,Punjab,Bathinda
SOUGATA RAY,All India Trinamool Congress,West Bengal,Dum dum
VINAY KUAMR,Akhil Bhartiya Parivar Party,Himachal Pradesh,MANDI
KULWINDER SINGH,Independent,Punjab,Anandpur Sahib
MOHAN LAL ADHIKARY,Independent,West Bengal,Barasat
HARJINDER SINGH,Independent,Punjab,Fatehgarh Sahib
JUGRAJ SINGH,Independent,Punjab,Amritsar
BIBHUTI BHUSAN MAJHI,Bahujan Samaj Party,Odisha,Jagatsinghpur
BALVINDER SINGH,Independent,Punjab,Ludhiana
DILIP KUMAR,Moolniwasi Samaj Party,Bihar,Nalanda
RAJWINDER SINGH DHARAMKOT,Shiromani Akali Dal,Punjab,Faridkot
UMESH KUMAR SINGH,Bahujan Samaj Party,Uttar Pradesh,Ghazipur
CHANDRA KISHOR PRASAD YADAV,Independent,Bihar,Nalanda
PREM SINGH,Independent,Punjab,Fatehgarh Sahib
CHANDRA KISHOR PRASAD YADAV,Independent,Bihar,Nalanda
JYOTIRMA PATHAK,Independent,Uttar Pradesh,Ghosi
CHANDRA KISHOR PRASAD YADAV,Independent,Bihar,Nalanda
KAMAL KUMAR VERMA,"Adarsh Janta Party,",Punjab,Sangrur
HARVINDER KAUR,Samajik Sangharsh Party,Punjab,Ludhiana
SANJEEV MANHAS,Independent,Punjab,Gurdaspur
RAVINDRA SHUKLA,Bharatiya Janata Party,Uttar Pradesh,Gorakhpur
YAMINI GOMAR,Indian National Congress,Punjab,Hoshiarpur
SURENDER SINGH,Independent,Bihar,Nalanda
ATHER JAMAL LARI LARI,Bahujan Samaj Party,Uttar Pradesh,Varanasi
ASHOK KUMAR KANAUJIYA,Communist Party of India,Uttar Pradesh,Robertsganj
SAIFUDDIN MONDAL,Independent,West Bengal,Barasat
SUNIL KUMAR SHUKLA,Bhartiya Lok Nayak Party,Uttar Pradesh,Kushi Nagar
DHEERAJ KUMAR SINGH,Bahujan Samaj Party,Bihar,Karakat
PRITAM SINGH,Bahujan Mukti Party,Punjab,Faridkot
JEETMOHINDER SINGH,Indian National Congress,Punjab,Bathinda
NARINDER KAUR,Aam Janta Party (India),Punjab,Amritsar
PUSHPINDER SINGH,Independent,Chandigarh,Chandigarh
INDRA RAJ ROUSHAN,Independent,Bihar,Karakat
VISHAL SHARMA,Independent,Punjab,Patiala
MAHENDRA NATH,Bharatiya Janata Party,Uttar Pradesh,Chandauli
GURDIAL SINGH,Communist Party of India,Punjab,Khadoor Sahib
NIRAJ KUMAR,Independent,Bihar,Patliputra
ABHISHEK BANERJEE,All India Trinamool Congress,West Bengal,Diamond harbour
MADAN RAJBHAR,Mang Samaj Party,Uttar Pradesh,Ghosi
PRAMOD KUMAR NIRALA,Bahujan Samaj Party,Bihar,Nalanda
JEEVAN KUMAR,Bahujan Dravida Party,Punjab,Hoshiarpur
NIRAJ KUMAR,Independent,Bihar,Patliputra
ROBI MASIH,Independent,Punjab,Gurdaspur
RAM PRAVESH,Moulik Adhikar Party,Uttar Pradesh,Ghazipur
KULWANT SINGH,Bharatheeya Jawan Kisan Party,Himachal Pradesh,HAMIRPUR
SUNIL THAMAN,Haryana Jansena Party,Chandigarh,Chandigarh
RAJESH VISHWAKARMA,Moulik Adhikar Party,Uttar Pradesh,Chandauli
SANTOSH KUMAR GUPTA,Janlok Vikas Party,Uttar Pradesh,Ghosi
AJAY PRATAP,Samajwadi Party,Uttar Pradesh,Kushi Nagar
SUKHWINDER SINGH,Independent,Punjab,Sangrur
KIKKAR SINGH DHALIWAL,Independent,Punjab,Faridkot
POONAM RANI,Nationalist Justice Party,Punjab,Bathinda
RAMDHANI,Rashtriya Samaj Paksha,Uttar Pradesh,Mirzapur
NISHA RANJAN,Samata Party,Bihar,Nalanda
KAMLESH PASWAN,Bharatiya Janata Party,Uttar Pradesh,Bansgaon
JAGJIT SINGH,Bahujan Samaj Party,Punjab,Patiala
NEERAJ SHEKHAR,Bharatiya Janata Party,Uttar Pradesh,Ballia
MOHAN SINGH,Independent,Punjab,Firozpur
PRABHUDAYAL,Rashtriya Samaj Dal (R),Uttar Pradesh,Robertsganj
NIRANJAN  NASKAR,Socialist Unity Centre Of India (COMMUNIST),West Bengal,Joynagar
BANDYOPADHYAY SUDIP,All India Trinamool Congress,West Bengal,Kolkata Uttar
RAJENDRA KUMAR AGRAWAL,Independent,Uttar Pradesh,Ghosi
NIKKA SINGH,Bahujan Samaj Party,Punjab,Bathinda
BALJINDER SINGH,Independent,Punjab,Faridkot
NARDEV SINGH,Shiromani Akali Dal,Punjab,Firozpur
AMRITPAL SINGH,Independent,Punjab,Khadoor Sahib
AMANDEEP SINGH,Sehajdhari Sikh Party,Punjab,Ludhiana
SHIVDAS SINGH,Independent,Bihar,Arrah
RAKESH DUTTA MISHRA,Bharatiya Jan Kranti Dal (Democratic),Bihar,Patna Sahib
SHIVDAS SINGH,Independent,Bihar,Arrah
AWADHESH,Janta Kranti Party (Rashtravadi),Uttar Pradesh,Ghosi
SHIVESH KUMAR,Bharatiya Janata Party,Bihar,Sasaram
SANTOSH KUMAR,Bharatiya Inqalab Party,Punjab,Ludhiana
SARBESWAR BEHERA,Independent,Odisha,Bhadrak
RAVI SHANKAR PRASAD,Bharatiya Janata Party,Bihar,Patna Sahib
RANJODH SINGH,Jan Sewa Driver Party,Punjab,Gurdaspur
TAPAS ROY,Bharatiya Janata Party,West Bengal,Kolkata Uttar
BADAL SINGH BHALOOR,Bhartiya Rashtriya Dal,Punjab,Faridkot
SUJAN CHAKRABORTY,Communist Party of India  (Marxist),West Bengal,Dum dum
RAJEEV,Bharatiya Janata Party,Himachal Pradesh,KANGRA
ARVIND RAJBHAR,Suheldev Bharatiya Samaj Party,Uttar Pradesh,Ghosi
KARAM SINGH MALUKA,Independent,Punjab,Faridkot
DAVINDER SINGH,Bahujan Samaj Party,Punjab,Ludhiana
RAKESH SHARMA,Independent,Bihar,Patna Sahib
HEERALAL,Independent,Uttar Pradesh,Bansgaon
ARVIND KUMAR PATEL,Sardar Patel Siddhant Party,Uttar Pradesh,Chandauli
KIRTAN BIHARI MALIK,Socialist Unity Centre Of India (COMMUNIST),Odisha,Bhadrak
NARESH KUMAR DHINGAAN,Independent,Punjab,Ludhiana
PREM CHAND,Independent,Uttar Pradesh,Ghosi
RAM SHIROMANI,Sardar Patel Siddhant Party,Uttar Pradesh,Robertsganj
SAMPA GUHA,Bharatiya Nyay-Adhikar Raksha Party,West Bengal,Kolkata Uttar
MAHBOOB ALAM ANSARI,Bharatiya Momin Front,Bihar,Patna Sahib
HARIKESH,Azad Adhikar Sena,Uttar Pradesh,Kushi Nagar
SHASHI KUMAR,Samaj Shakti Party,Bihar,Nalanda
PRANATI PAUL,Independent,West Bengal,Kolkata Uttar
SANJOY CHANDA,Kisan Mazdoor Sangharsh Party,West Bengal,Kolkata Dakshin
ACHAL SINGH,Independent,Himachal Pradesh,KANGRA
BANARSI DAS,Peoples Party of India (Democratic),Bihar,Sasaram
ACHAL SINGH,Independent,Himachal Pradesh,KANGRA
ASHOK TIWARI,Independent,Bihar,Arrah
ACHAL SINGH,Independent,Himachal Pradesh,KANGRA
NAFEES AKHTAR,Independent,Uttar Pradesh,Gorakhpur
ACHAL SINGH,Independent,Himachal Pradesh,KANGRA
BAIJAYANT PANDA,Bharatiya Janata Party,Odisha,Kendrapara
SONU RAI,Mera Adhikaar Rashtriya Dal,Uttar Pradesh,Gorakhpur
ASHOK KANDARY,Bharatiya Janata Party,West Bengal,Joynagar
PURNIMA DEBNATH,Independent,West Bengal,Jadavpur
SHIV SHANKAR RAM,Independent,Bihar,Sasaram
ANIL DAS,Bhartiya Dalit Party,Bihar,Patliputra
PAWAN KUMAR SINGH,Independent,Bihar,Karakat
VINOD,Communist Party of India,Uttar Pradesh,Ghosi
DHARAM SINGH,Independent,Punjab,Anandpur Sahib
LILI HANSDA,Samata Party,Jharkhand,Rajmahal
SANTOSH KUMAR KHARWAR,Bhartiya Gandhiwadi Party,Bihar,Sasaram
PAWAN KUMAR SINGH,Independent,Bihar,Karakat
GOPI CHAND,Independent,Himachal Pradesh,HAMIRPUR
KIRAN JAIN,Hindustan Shakti Sena,Punjab,Anandpur Sahib
ABANI KUMAR MONDAL,Independent,West Bengal,Jadavpur
PRAYAG PASWAN,Socialist Unity Centre Of India (COMMUNIST),Bihar,Karakat
RAM KRIPAL YADAV,Bharatiya Janata Party,Bihar,Patliputra
SHANKAR MANDAL,Independent,West Bengal,Jadavpur
SRIJAN BHATTACHARYYA,Communist Party of India  (Marxist),West Bengal,Jadavpur
ANUJIT KUMAR NAN,Independent,West Bengal,Kolkata Uttar
GOPIN SOREN,Communist Party of India  (Marxist),Jharkhand,Rajmahal
ANUJIT KUMAR NAN,Independent,West Bengal,Kolkata Uttar
MALA ROY,All India Trinamool Congress,West Bengal,Kolkata Dakshin
SANJAY KUMAR SINGH,Bhartiya Sarthak Party,Bihar,Patliputra
GARIB DASS KATOCH,Independent,Himachal Pradesh,HAMIRPUR
DAULAT SINGH,Apna Dal (Kamerawadi),Uttar Pradesh,Mirzapur
FIROZA KHATUN,Bahujan Samaj Party,West Bengal,Kolkata Dakshin
TRIDIB BHUNIA,Independent,West Bengal,Dum dum
ARUN ANKESH SYAL,Ekam Sanatan Bharat Dal,Himachal Pradesh,HAMIRPUR
SANJANA RAM,Independent,West Bengal,Kolkata Dakshin
GOURI BISWAS,Independent,West Bengal,Dum dum
AWDHESH PRASAD,Independent,Bihar,Patna Sahib
SANTANU MANDAL,Democratic Socialist Party of India,West Bengal,Dum dum
SHASHANK MANI,Bharatiya Janata Party,Uttar Pradesh,Deoria
REKHA PATRA,Bharatiya Janata Party,West Bengal,Basirhat
MUKTI,Right to Recall Party,West Bengal,Kolkata Dakshin
LALLAN SINGH YADAV,Bahujan Samaj Party,Uttar Pradesh,Ballia
MD ABUL KALAM MOLLA,Bahujan Samaj Party,West Bengal,Basirhat
UMESH RAJAK,Peoples Party of India (Democratic),Bihar,Patna Sahib
GULAB PRASAD,Loktantrik Samajwadi Party,Bihar,Patna Sahib
NEERAJ KUMAR,Bahujan Samaj Party,Bihar,Patna Sahib
CHANDESHWAR PRASAD,Janata Dal  (United),Bihar,Jahanabad
DEVINDER SINGH,Aam Lok Party United,Punjab,Ludhiana
